timestamp,server_id,region,server_type,os_type,cpu_usage_pct,memory_usage_pct,disk_io_pct,network_in_mbps,network_out_mbps,temperature_celsius,error_count,response_time_ms,uptime_hours,is_idle,system_crash
2024-01-01 00:00:00,SRV-0069,us-east-1,web,Linux,54.93,25.66,10.25,206.94,104.62,62.53,4,351.08,460.27,0,0
2024-01-01 00:30:00,SRV-0270,eu-central-1,web,RHEL,42.23,44.51,5.93,304.61,207.35,49.76,3,266.82,8400.94,0,0
2024-01-01 01:00:00,SRV-0225,us-east-1,cache,Linux,57.95,52.56,9.39,115.36,92.47,64.97,2,232.04,1473.18,0,0
2024-01-01 01:30:00,SRV-0005,us-west-2,compute,Linux,75.46,93.98,4.93,209.07,229.93,59.54,6,496.76,5855.7,0,0
2024-01-01 02:00:00,SRV-0243,sa-east-1,database,RHEL,40.32,70.02,58.05,22.63,13.43,46.87,2,266.76,7997.01,0,0
2024-01-01 02:30:00,SRV-0118,us-west-2,web,Linux,40.32,35.96,12.65,64.22,26.99,60.22,2,208.95,6112.83,0,0
2024-01-01 03:00:00,SRV-0172,sa-east-1,database,Windows Server,76.58,68.75,7.04,74.03,54.81,67.9,3,284.42,1910.9,0,0
2024-01-01 03:30:00,SRV-0143,eu-central-1,storage,Ubuntu,60.35,32.15,14.87,107.4,104.4,59.2,3,331.07,2767.06,0,0
2024-01-01 04:00:00,SRV-0257,ap-southeast-1,web,Windows Server,35.61,79.49,9.66,396.92,158.32,60.6,2,203.58,265.57,0,0
2024-01-01 04:30:00,SRV-0078,eu-central-1,web,RHEL,96.23,92.61,34.11,311.07,212.22,94.53,5,576.87,5368.15,0,1
2024-01-01 05:00:00,SRV-0057,ap-southeast-1,web,Windows Server,35.73,58.31,88.7,21.67,6.85,58.65,1,160.74,5370.21,0,0
2024-01-01 05:30:00,SRV-0020,sa-east-1,database,Ubuntu,35.69,83.86,14.41,28.45,9.4,53.44,1,161.04,6355.66,0,0
2024-01-01 06:00:00,SRV-0014,ap-southeast-1,cache,Windows Server,49.84,36.83,49.34,66.39,48.77,73.33,3,497.7,97.32,0,0
2024-01-01 06:30:00,SRV-0206,sa-east-1,compute,Linux,6.73,34.85,20.86,51.53,29.29,39.67,0,405.08,7164.47,0,0
2024-01-01 07:00:00,SRV-0237,ap-southeast-1,web,RHEL,10.5,49.5,4.28,143.09,151.76,52.92,3,84.32,6471.37,0,0
2024-01-01 07:30:00,SRV-0181,sa-east-1,compute,Linux,94.51,84.85,29.33,349.61,294.35,91.9,4,459.42,1235.03,0,1
2024-01-01 08:00:00,SRV-0291,ap-southeast-1,compute,Linux,24.74,32.65,18.01,491.68,348.38,41.62,4,149.27,3045.86,0,0
2024-01-01 08:30:00,SRV-0189,sa-east-1,compute,RHEL,51.28,9.02,26.29,159.03,106.09,62.93,2,324.72,5593.84,0,0
2024-01-01 09:00:00,SRV-0147,us-west-2,database,RHEL,26.84,51.88,55.11,273.17,204.2,52.31,1,333.57,4343.68,0,0
2024-01-01 09:30:00,SRV-0042,us-east-1,compute,CentOS,16.75,69.93,14.51,111.73,37.59,41.44,1,110.89,1009.11,0,0
2024-01-01 10:00:00,SRV-0001,us-west-2,storage,Ubuntu,74.31,81.6,57.86,35.04,38.67,65.11,4,300.22,766.06,0,0
2024-01-01 10:30:00,SRV-0104,eu-central-1,database,Linux,40.48,51.66,34.72,111.57,133.71,56.07,3,173.89,6845.78,0,0
2024-01-01 11:00:00,SRV-0255,ap-southeast-1,database,Linux,92.09,93.77,16.77,121.48,56.29,92.66,5,330.76,1367.12,0,1
